teamID,teamName,teamCode,games,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,points,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,conferenceName,conferenceRank,conferenceWin,conferenceLoss,winHome,winAway,lossHome,lossAway
41,Washington Wizards,WAS,83,816,4052,822,978,1165,883,8972,3352,7129,47.1,1401,1791,77.8,867,2546,34.1,745,2831,3576,2068,1565,535,1058,414,-286,east,12,24,28,21,14,20,27
5,Charlotte Hornets,CHA,83,1345,4248,1049,1124,1530,964,9531,3532,7572,46.8,1320,1777,74.4,1147,3156,36.3,906,2790,3696,2316,1643,712,1061,411,11,east,10,27,25,22,21,19,20
20,Miami Heat,MIA,83,900,3568,1327,1046,1418,928,9104,3279,7024,46.8,1425,1765,81.2,1121,2958,37.8,814,2809,3623,2110,1703,610,1144,272,364,east,1,35,17,29,24,12,17
1,Atlanta Hawks,ATL,83,804,3778,1117,1021,1294,922,9428,3434,7319,47.1,1493,1844,80.8,1067,2856,37.1,837,2804,3641,2040,1549,594,935,353,109,east,8,26,26,27,16,14,25
26,Orlando Magic,ORL,84,902,3788,716,1044,1209,951,8714,3196,7395,43.2,1303,1658,78.6,1019,3079,33.0,770,2940,3710,1985,1658,572,1158,384,-644,east,15,12,40,12,10,29,31
24,New York Knicks,NYK,83,879,3426,1097,1205,1293,932,8835,3124,7148,43.7,1484,1992,74.5,1103,3076,35.8,954,2873,3827,1816,1687,576,1028,402,9,east,11,22,30,17,20,24,21
4,Brooklyn Nets,BKN,83,1135,3790,1092,1130,1301,926,9330,3468,7333,47.5,1444,1796,80.2,950,2636,35.9,855,2821,3676,2088,1686,593,1103,456,50,east,7,31,21,20,24,21,17
27,Philadelphia 76ers,PHI,83,1015,3736,1162,933,1318,883,9118,3268,7005,46.8,1623,1982,81.5,959,2635,36.3,710,2790,3500,1963,1608,645,974,436,219,east,4,32,20,24,27,17,14
38,Toronto Raptors,TOR,83,1309,3912,1085,1360,1581,906,9056,3367,7572,44.5,1334,1762,75.9,988,2834,34.9,1113,2660,3773,1824,1626,748,979,385,202,east,5,30,22,24,24,17,17
2,Boston Celtics,BOS,83,911,3838,1429,1075,1341,907,9231,3364,7226,46.6,1411,1730,81.7,1092,3080,35.1,868,2948,3816,2055,1538,593,1097,484,564,east,2,33,19,28,23,13,18
